1541,79,46
121,94,21
744,10,56
227,18,66
317,44,99
1574,71,87
897,92,24
269,48,36
121,3,28
1065,28,19
928,51,94
553,22,18
1988,63,22
965,98,39
8,80,14
661,50,83
1078,98,7
1802,83,3
537,37,44
1056,29,54
880,61,84
1923,67,83
1048,8,33
1709,97,44
1605,80,9
471,85,17
902,28,90
1340,71,36
1427,33,37
455,52,23
1297,2,73
1455,53,86
792,91,84
1032,63,83
986,7,36
1827,96,16
18,36,31
717,72,66
341,80,18
1685,61,79
1121,63,63
82,21,37
455,80,29
741,67,38
487,31,59
193,45,41
1767,28,45
929,46,95
1126,52,38
1983,7,12
951,73,77
54,51,51
971,70,23
216,65,89
1160,61,7
508,24,69
157,67,33
246,99,93
694,28,51
220,81,32
1,38,72
1657,24,5
1347,7,20
825,45,97
153,71,45
1304,72,14
1656,19,10
74,24,32
597,52,55
499,58,40
1519,78,18
485,27,54
244,11,53
1465,91,25
1236,7,62
799,42,1
1345,37,39
208,68,0
1049,45,9
263,2,22
1216,40,85
1330,42,37
386,33,47
1891,2,57
503,47,35
431,19,27
1815,60,74
247,47,47
1505,91,22
707,16,79
1602,13,62
1747,85,5
390,53,38
699,85,58
1483,0,0
1520,37,56
1710,53,43
67,85,77
1699,45,36
1010,6,73
1923,37,3
618,4,22
1546,29,50
1559,61,23
1317,38,36
799,15,80
675,97,54
880,96,54
853,51,59
1457,34,69
1026,23,47
119,67,24
630,40,93
1990,18,92
1332,4,21
1759,60,35
443,91,37
1137,60,9
1902,91,87
1576,61,67
388,20,15
605,29,49
1268,64,7
1266,22,79
488,93,11
1024,3,42
1959,7,91
1245,99,72
190,43,92
959,96,38
726,34,50
51,23,81
1947,6,86
1879,99,76
496,45,25
1050,91,75
1285,16,55
41,5,32
1058,60,31
1489,6,43
1854,25,79
1293,40,98
1971,16,55
306,66,53
1522,72,23
543,91,77
1681,37,46
1855,6,74
851,9,93
189,86,79
1993,96,55
1118,99,23
1359,86,37
1384,81,0
1776,82,21
1993,44,76
179,60,9
1293,81,28
309,52,68
834,44,92
1200,99,73
629,28,47
954,96,16
806,86,26
1319,78,33
1322,11,76
1178,74,77
1462,57,4
1185,25,29
437,11,89
805,71,74
793,65,59
584,52,69
298,4,37
911,61,50
385,21,40
487,21,56
1143,90,83
1416,56,14
951,11,73
1142,14,5
1387,44,78
691,61,62
999,32,2
425,95,54
261,72,90
847,95,52
94,6,5
1834,11,49
74,88,53
721,6,39
1368,39,61
563,70,81
1565,38,30
907,21,62
1836,36,0
275,21,33
134,16,74
1983,15,58
1506,22,64
888,80,7
142,53,21
1526,25,53
1614,92,67
599,23,21
112,51,91
38,29,33
1170,70,54
1575,54,20
1908,37,46
247,57,73
1838,56,97
390,98,10
1607,13,43
826,13,16
881,46,7
1668,0,91
1287,74,35
1721,32,75
1785,48,50
778,7,80
1112,46,14
1295,98,22
